# TILEID RA DEC N
4	335.03	19.88	464
6	333.22	14.84	1237
7	332.35	12.32	1022
8	319.90	6.05	2040
9	330.67	7.31	1209
10	329.84	4.80	1226
11	326.40	1.37	1610
12	326.88	4.31	1272
13	324.73	5.92	1683
14	322.58	7.47	2313
15	320.42	9.01	2506
16	318.23	10.54	2079
17	316.02	12.07	2286
23	335.67	29.65	956
24	334.67	27.10	1542
25	333.70	24.55	1315
26	332.77	22.00	1469
27	331.87	19.47	1416
28	330.99	16.94	1517
29	330.13	14.41	1284
30	329.29	11.90	1215
31	328.47	9.39	1589
32	327.66	6.87	1454
33	325.45	8.64	1913
34	323.25	10.28	2506
35	321.04	11.87	2083
36	318.81	13.43	2790
43	332.27	29.20	1843
44	331.34	26.62	1383
45	330.44	24.05	1571
46	329.56	21.49	1610
47	328.70	18.93	1447
48	327.86	16.38	1397
49	327.04	13.82	1630
50	326.23	11.25	1646
51	323.99	12.98	1672
52	321.73	14.63	1358
53	319.46	16.24	2229
61	328.04	26.03	2638
62	327.19	23.43	2391
63	326.37	20.83	1818
64	325.55	18.23	1038
65	324.76	15.62	1604
66	322.46	17.34	1456
77	323.21	20.01	1177
96	328.28	0.00	1265
98	31.72	0.00	540
100	270.00	31.72	1231
104	148.28	0.00	674
106	211.72	0.00	1679
115	225.00	35.26	7
118	0.00	20.91	468
119	135.00	35.26	6
120	249.09	0.00	3284
125	180.00	20.91	654
136	159.09	30.00	556
139	180.00	0.00	938
141	0.00	0.00	532
142	121.72	18.00	1326
147	339.09	30.00	570
149	200.91	30.00	682
150	20.91	30.00	67
152	58.28	-18.00	679
154	238.28	18.00	1711
255	51.21	-13.63	560
257	46.68	-10.62	501
258	26.78	-14.84	450
259	27.65	-12.32	474
260	40.10	-6.05	580
261	29.33	-7.31	579
262	30.16	-4.80	500
263	33.60	-1.37	535
264	33.12	-4.31	500
265	35.27	-5.92	508
266	37.42	-7.47	487
267	39.58	-9.01	522
268	41.77	-10.54	526
269	43.98	-12.07	525
270	46.23	-13.59	487
271	48.51	-15.10	483
272	50.82	-16.60	519
273	53.18	-18.08	546
280	29.01	-16.94	484
281	29.87	-14.41	495
282	30.71	-11.90	490
283	31.53	-9.39	501
284	32.34	-6.87	526
285	34.55	-8.64	477
286	36.75	-10.28	504
287	38.96	-11.87	514
288	41.19	-13.43	479
289	43.44	-14.98	461
290	45.73	-16.51	473
291	48.05	-18.03	494
300	32.14	-16.38	483
301	32.96	-13.82	537
302	33.77	-11.25	472
303	36.01	-12.98	494
304	38.27	-14.63	500
305	40.54	-16.24	453
306	42.85	-17.83	470
316	34.45	-18.23	452
317	35.24	-15.62	474
318	37.54	-17.34	447
447	313.32	-10.62	67
448	315.54	9.10	3284
449	317.73	7.58	2466
450	319.90	-6.05	1830
451	322.05	4.51	2113
452	324.20	2.96	1876
453	326.40	-1.37	1710
454	323.75	0.00	2039
455	321.55	-1.53	2205
456	319.40	-3.07	2579
457	317.25	-4.60	2351
458	315.08	-6.12	2551
459	312.89	-7.64	916
470	312.89	7.64	4176
471	315.08	6.12	2928
472	317.25	4.60	2412
473	319.40	3.07	2427
474	321.55	1.53	2394
475	319.20	0.00	2729
476	316.95	-1.54	2660
477	314.75	-3.08	2093
478	312.55	-4.61	2775
479	310.33	-6.13	1575
490	312.55	4.61	3475
491	314.75	3.08	2716
492	316.95	1.54	2782
493	314.62	0.00	2568
494	312.35	-1.54	2924
495	310.10	-3.08	1855
506	310.10	3.08	3821
507	312.35	1.54	3197
508	310.02	0.00	3472
541	10.77	0.00	516
542	25.89	-17.35	471
543	16.10	0.00	526
544	18.75	0.00	534
545	28.49	-9.82	548
546	24.03	0.00	560
547	26.67	0.00	507
548	31.00	-2.21	527
549	28.05	-2.66	537
550	27.17	-5.19	486
551	26.32	-7.69	575
552	25.46	-10.19	529
553	24.59	-12.69	519
554	23.69	-15.20	504
555	22.77	-17.71	529
560	1.35	-2.67	600
561	4.05	-2.67	603
562	6.75	-2.68	581
563	9.44	-2.68	538
564	12.11	-2.69	455
565	14.78	-2.70	531
566	17.44	-2.70	537
567	20.08	-2.71	507
568	22.72	-2.71	524
569	25.37	-2.71	541
570	24.34	-5.33	563
571	23.42	-7.89	459
572	22.51	-10.42	364
573	21.59	-12.94	540
574	20.64	-15.46	553
575	19.67	-17.97	568
580	2.72	-5.34	607
581	5.43	-5.34	585
582	8.14	-5.35	525
583	10.84	-5.37	496
584	13.53	-5.38	511
585	16.22	-5.38	475
586	18.91	-5.38	492
587	21.61	-5.37	566
588	20.59	-7.98	161
589	19.61	-10.55	58
590	18.63	-13.09	399
591	17.63	-15.63	584
592	16.60	-18.15	530
596	1.37	-7.99	490
597	4.12	-8.00	456
598	6.86	-8.01	418
599	9.60	-8.02	532
600	12.34	-8.03	482
601	15.07	-8.03	293
602	17.82	-8.02	141
603	16.77	-10.61	77
604	15.72	-13.18	206
605	14.66	-15.73	476
606	13.55	-18.26	556
610	2.79	-10.63	279
611	5.58	-10.64	483
612	8.37	-10.65	433
613	11.16	-10.65	427
614	13.96	-10.64	418
615	12.84	-13.23	468
620	1.42	-13.24	294
621	4.27	-13.25	239
622	7.12	-13.25	268
623	9.98	-13.25	375
728	240.72	19.40	1632
729	243.19	20.77	1572
730	245.71	22.10	1621
732	250.85	24.63	1765
735	258.86	28.04	2198
738	267.42	30.97	1692
739	264.86	33.01	576
740	261.88	32.08	655
741	259.02	31.06	975
742	256.23	29.98	1493
743	253.49	28.84	1641
744	250.80	27.64	1511
745	248.16	26.40	1521
746	245.56	25.10	1203
