# TILEID RA DEC N
735	258.86	28.04	18689
738	267.42	30.97	18711
739	264.86	33.01	18067
740	261.88	32.08	18721
741	259.02	31.06	18721
742	256.23	29.98	18704
743	253.49	28.84	18706
744	250.80	27.64	18700
745	248.16	26.40	18705
746	245.56	25.10	18701
747	243.00	23.77	18678
748	240.49	22.39	18700
749	238.01	20.98	18695
760	259.55	34.10	9274
761	256.54	33.03	12108
762	253.66	31.89	18690
763	250.86	30.69	18702
764	248.13	29.43	18710
765	245.46	28.13	18717
766	242.83	26.78	18687
767	240.26	25.39	18693
768	237.73	23.97	18699
769	235.25	22.51	18687
778	254.10	34.96	9272
779	251.10	33.76	16975
780	248.23	32.49	18703
781	245.44	31.18	18698
782	242.72	29.81	18702
783	240.07	28.40	18709
784	237.47	26.96	18698
785	234.92	25.48	18694
792	251.61	36.82	1662
794	245.55	34.24	8648
795	242.70	32.86	18633
796	239.93	31.43	18696
797	237.24	29.96	18697
798	234.61	28.46	18702
799	232.04	26.93	18712
806	239.88	34.47	7962
807	237.07	32.97	17981
808	234.33	31.44	18699
809	231.67	29.88	18719
815	234.10	34.43	6938
816	231.33	32.83	17087
817	228.63	31.20	18704
821	228.22	34.11	11139
823	119.28	19.40	18712
824	116.81	20.77	18687
825	114.29	22.10	18681
842	114.15	19.11	18699
843	116.62	17.79	18687
844	119.06	16.42	18687
863	116.43	14.81	18687
864	118.84	13.44	18679
923	315.54	-9.10	18687
924	317.73	-7.58	18688
925	331.51	-9.82	18680
926	322.05	-4.51	18673
927	324.20	-2.96	18684
928	329.00	-2.21	18670
929	326.88	-4.31	18692
930	327.66	-6.87	18675
931	328.47	-9.39	18664
932	329.29	-11.90	18679
945	316.02	-12.07	18652
946	318.23	-10.54	18641
947	320.42	-9.01	18637
948	322.58	-7.47	18679
949	324.73	-5.92	18666
950	325.45	-8.64	18688
951	326.23	-11.25	18229
966	321.04	-11.87	18680
967	323.25	-10.28	18529
968	323.99	-12.98	15462
1034	17.46	30.26	13184
1035	342.54	30.26	17701
1053	13.99	30.45	12995
1054	15.26	27.98	18690
1055	346.01	30.45	16815
1069	10.51	30.56	17691
1070	11.88	28.12	18704
1071	348.12	28.12	18722
1082	7.02	30.62	12868
1083	8.50	28.20	18710
1084	9.88	25.75	18687
1085	351.50	28.20	18685
1092	3.51	30.65	8227
1093	5.10	28.24	18688
1094	6.59	25.81	18684
1095	353.41	25.81	18701
1096	354.90	28.24	18694
1097	356.49	30.65	18575
1100	1.70	28.26	18698
1101	3.30	25.83	18714
1102	4.79	23.38	18681
1103	356.70	25.83	18715
1104	358.30	28.26	18678
1105	0.00	25.84	18722
1106	1.60	23.39	18711
1107	358.40	23.39	18717
1108	160.24	32.52	18685
1109	161.44	35.02	6856
1128	157.81	34.73	6875
1129	156.72	32.19	18373
1148	154.23	34.35	5035
1149	153.23	31.77	18668
1165	150.69	33.86	9502
1179	147.21	33.26	13806
1189	144.53	35.23	686
1197	141.10	34.43	7240
1201	138.33	36.29	1171
1206	248.26	23.39	18700
1208	253.47	25.82	18709
1209	256.15	26.96	18687
1211	261.63	29.07	18700
1212	264.46	30.04	18688
1213	270.00	29.39	18260
1214	266.99	28.02	18678
1215	267.01	25.34	18688
1216	267.06	22.70	18707
1217	267.12	20.06	18691
1225	240.94	16.42	18681
1226	243.38	17.79	18689
1227	245.85	19.11	18709
1228	248.36	20.40	18694
1229	250.90	21.63	18703
1230	253.47	22.82	18698
1231	256.09	23.95	18684
1232	258.74	25.03	18711
1233	261.43	26.06	18693
1234	264.17	27.04	18693
1235	264.16	24.23	18680
1236	264.22	21.51	18683
1237	264.31	18.82	18710
1238	264.39	16.15	18685
1239	264.47	13.47	18689
1245	243.57	14.81	18681
1246	246.01	16.14	18674
1247	248.48	17.43	18718
1248	250.99	18.67	18721
1249	253.54	19.87	18710
1250	256.12	21.01	18690
1251	258.74	22.11	18702
1252	261.41	23.18	18710
1253	261.48	20.39	18703
1254	261.58	17.64	18689
1255	261.69	14.92	18695
1261	243.75	11.85	18697
1262	246.17	13.19	18696
1263	248.63	14.49	18665
1264	251.12	15.75	18672
1265	253.64	16.96	18682
1266	256.21	18.13	18693
1267	258.82	19.27	18713
1268	258.93	16.48	18687
1269	259.04	13.71	18687
1275	246.32	10.26	18652
1276	248.77	11.58	18692
1277	251.25	12.86	18696
1278	253.77	14.10	18676
1279	256.32	15.30	18666
1280	256.45	12.50	18681
1281	256.56	9.71	18679
1282	256.65	6.93	18681
1285	246.46	7.32	18688
1286	248.90	8.68	18682
1287	251.38	9.99	18655
1288	253.89	11.26	18663
1289	254.01	8.43	18669
1290	254.09	5.62	18698
1291	254.15	2.81	18674
1293	249.00	5.78	18690
1294	251.49	7.13	18691
1295	251.57	4.27	18657
1296	251.61	1.42	18655
1297	249.07	2.89	18690
1583	2.70	0.00	18656
1584	5.40	0.00	18625
1585	8.09	0.00	18655
1586	24.97	19.88	18713
1587	13.44	0.00	18660
1588	26.78	14.84	18692
1589	27.65	12.32	18683
1590	21.39	0.00	18635
1591	29.33	7.31	18664
1592	30.16	4.80	18683
1593	29.39	0.00	18644
1594	28.05	2.66	18679
1595	25.37	2.71	18640
1596	22.72	2.71	18677
1597	20.08	2.71	18675
1598	17.44	2.70	18690
1599	14.78	2.70	18685
1600	12.11	2.69	18669
1601	9.44	2.68	18698
1602	6.75	2.68	18688
1603	4.05	2.67	18694
1604	1.35	2.67	18677
1605	18.63	27.77	18706
1606	19.74	25.26	18675
1607	20.80	22.74	18681
1608	21.80	20.23	18685
1609	22.77	17.71	18696
1610	23.69	15.20	18668
1611	24.59	12.69	18691
1612	25.46	10.19	17967
1613	26.32	7.69	18682
1614	27.17	5.19	18679
1615	24.34	5.33	18691
1616	21.61	5.37	18701
1617	18.91	5.38	18692
1618	16.22	5.38	18685
1619	13.53	5.38	17414
1620	10.84	5.37	18539
1621	8.14	5.35	18683
1622	5.43	5.34	18699
1623	2.72	5.34	18683
1624	0.00	5.33	18687
1625	16.45	25.49	18669
