# TILEID RA DEC NSKY NBADSKY NSTD NSCIENCE NPOTENTIAL SKY0 SKY1 SKY2 SKY3  SKY4 SKY5  SKY6 SKY7 SKY8 SKY9 STD0 STD1 STD2 STD3  STD4 STD5  STD6 STD7 STD8 STD9
22772	339.21	0.07	400	0	100	4500	53423	40	40	40	40	40	40	40	40	40	40	10	10	10	10	10	10	10	10	10	10	
9706	217.29	32.50	400	31	100	4469	50896	40	40	40	40	40	40	40	40	40	40	10	10	10	10	10	10	10	10	10	10	
17059	348.99	25.70	407	2126	94	2365	33827	40	26	44	40	51	40	45	40	40	41	10	4	10	10	10	10	10	10	10	10	
7424	8.20	13.27	424	8	100	4467	46480	40	41	40	45	49	42	43	42	42	40	10	10	10	10	10	10	10	10	10	10	
27341	49.70	0.06	415	276	100	4204	42446	40	40	40	40	40	40	40	40	48	47	10	10	10	10	10	10	10	10	10	10	
12263	266.99	33.01	109	3935	45	441	19899	41	40	28	0	0	0	0	0	0	0	10	10	9	3	0	0	2	4	2	5	
10055	46.46	0.02	400	532	100	3964	46543	40	40	40	40	40	40	40	40	40	40	10	10	10	10	10	10	10	10	10	10	
25407	349.54	-2.60	400	57	100	4440	45810	40	40	40	40	40	40	40	40	40	40	10	10	10	10	10	10	10	10	10	10	
18537	261.95	22.10	384	2148	100	2357	35897	40	40	40	38	29	18	42	57	40	40	10	10	10	10	10	10	10	10	10	10	
26970	234.26	22.41	400	0	100	4500	43977	40	40	40	40	40	40	40	40	40	40	10	10	10	10	10	10	10	10	10	10	
16932	172.72	2.64	400	0	100	4500	53689	40	40	40	40	40	40	40	40	40	40	10	10	10	10	10	10	10	10	10	10	
16890	140.60	23.37	400	0	100	4500	48216	40	40	40	40	40	40	40	40	40	40	10	10	10	10	10	10	10	10	10	10	
23335	43.27	-11.79	400	0	100	4499	46116	40	40	40	40	40	40	40	40	40	40	10	10	10	10	10	10	10	10	10	10	
20278	186.75	30.58	400	0	100	4500	51346	40	40	40	40	40	40	40	40	40	40	10	10	10	10	10	10	10	10	10	10	
13360	113.96	32.47	122	3621	53	487	19755	0	0	0	0	0	0	1	40	40	41	7	8	5	2	0	0	1	10	10	10	
14284	193.00	5.32	400	0	100	4500	54946	40	40	40	40	40	40	40	40	40	40	10	10	10	10	10	10	10	10	10	10	
43	332.27	29.19	400	581	100	3908	43740	40	40	40	40	40	40	40	40	40	40	10	10	10	10	10	10	10	10	10	10	
6500	268.48	30.97	365	1936	93	2592	37086	40	40	40	41	40	4	40	40	40	40	10	10	10	10	10	3	10	10	10	10	
23309	33.64	-7.23	408	0	100	4492	47140	40	48	40	40	40	40	40	40	40	40	10	10	10	10	10	10	10	10	10	10	
5224	212.34	-6.87	400	0	100	4500	53713	40	40	40	40	40	40	40	40	40	40	10	10	10	10	10	10	10	10	10	10	
494	312.35	-1.54	400	391	100	4109	49359	40	40	40	40	40	40	40	40	40	40	10	10	10	10	10	10	10	10	10	10	
4271	44.92	-6.12	400	183	100	4316	48132	40	40	40	40	40	40	40	40	40	40	10	10	10	10	10	10	10	10	10	10	
795	242.70	32.85	386	942	100	3552	44296	40	40	40	40	26	40	40	40	40	40	10	10	10	10	10	10	10	10	10	10	
6729	324.33	-10.26	226	3335	62	1341	27613	0	0	12	10	0	40	40	44	40	40	1	0	4	4	3	10	10	10	10	10	
23331	35.84	-9.31	400	0	100	4499	46764	40	40	40	40	40	40	40	40	40	40	10	10	10	10	10	10	10	10	10	10	
28438	155.83	9.73	400	1	100	4498	48003	40	40	40	40	40	40	40	40	40	40	10	10	10	10	10	10	10	10	10	10	
15811	56.32	-9.10	402	93	100	4403	50136	40	42	40	40	40	40	40	40	40	40	10	10	10	10	10	10	10	10	10	10	
24642	32.37	2.74	400	0	100	4500	46659	40	40	40	40	40	40	40	40	40	40	10	10	10	10	10	10	10	10	10	10	
28480	162.71	5.28	400	0	100	4500	49384	40	40	40	40	40	40	40	40	40	40	10	10	10	10	10	10	10	10	10	10	
9042	216.54	35.21	244	518	49	1646	19679	42	40	19	4	2	6	11	40	40	40	10	10	2	1	0	0	2	4	10	10	
23498	324.22	-5.97	401	145	100	4352	43542	40	41	40	40	40	40	40	40	40	40	10	10	10	10	10	10	10	10	10	10	
8505	185.13	2.65	400	0	100	4500	51925	40	40	40	40	40	40	40	40	40	40	10	10	10	10	10	10	10	10	10	10	
23787	269.12	33.01	424	3277	54	921	22960	40	5	0	0	0	0	17	79	189	94	10	1	1	2	0	0	10	10	10	10	
6579	229.70	31.18	400	0	100	4500	52743	40	40	40	40	40	40	40	40	40	40	10	10	10	10	10	10	10	10	10	10	
15458	214.94	33.21	396	373	93	3243	39048	40	40	40	40	40	36	40	40	40	40	10	10	10	10	9	4	10	10	10	10	
951	326.23	-11.25	349	2631	86	1822	30000	43	40	28	40	40	42	40	15	21	40	10	10	4	10	10	10	10	4	8	10	
24936	29.69	27.17	435	3275	52	1219	25268	132	121	81	40	21	0	0	0	0	40	10	10	10	10	2	0	0	0	1	9	
24692	20.93	18.24	588	1	100	4309	43200	61	64	41	45	73	108	67	49	40	40	10	10	10	10	10	10	10	10	10	10	
2801	189.98	13.25	401	0	100	4497	53727	40	40	40	40	40	40	40	40	40	41	10	10	10	10	10	10	10	10	10	10	
7374	26.55	10.21	429	506	99	3963	43010	45	49	40	40	41	42	46	42	40	44	10	9	10	10	10	10	10	10	10	10	
8140	344.86	-5.36	362	1423	90	3120	39115	2	40	40	40	40	40	40	40	40	40	2	8	10	10	10	10	10	10	10	10	
